ID,Address,Name,Gender,Age,Average Dollar,Latitude,Longitude
26,"1339 Creekside WAY Roswell, GA 30076",Dominic Kemp,male,63,883,34.0272447509,-84.3296036061
27,"248 Chads Ford WAY Roswell, GA 30076",Reginia Keith,female,20,518,34.0285102276,-84.3222104408
28,"800 Creekside WAY Roswell, GA 30076",Jerrold Moss,male,66,313,34.02782201,-84.3306332065
29,"144 Creekside WAY Roswell, GA 30076",Katharyn Blair,female,14,482,34.0263259219,-84.3296018969
30,"204 Chads Ford WAY Roswell, GA 30076",Amado Hicks,male,50,579,34.0271797374,-84.3218437661
31,"1228 Creekside WAY Roswell, GA 30076",Denisse Williamson,female,16,385,34.0273655511,-84.3301369508
32,"113 Creekside WAY Roswell, GA 30076",Kevin Beach,female,51,290,34.0263776181,-84.329381013
33,"258 Chads Ford WAY Roswell, GA 30076",Kathe Mejia,female,50,219,34.0288549936,-84.3219780755
34,"305 Lakeview RDG  W Roswell, GA 30076",Billie Parker,male,59,195,34.0075196611,-84.32033469
35,"1300 Harbor LNDG Roswell, GA 30076",Marvella Potts,female,50,427,34.0073106738,-84.3162187531
36,"228 Lakeview RDG  E Roswell, GA 30076",Sal Snyder,male,58,528,34.0085476598,-84.3184560005
37,"608 Cruise CT Roswell, GA 30076",Lynna Hardin,female,42,163,34.0076997215,-84.3188749365
38,"2315 Harbor LNDG Roswell, GA 30076",Fidelia Livingston,female,20,325,34.0087734408,-84.3170159223
39,"206 Softwood CIR Roswell, GA 30076",Ozell Johnston,female,16,70,34.0110424043,-84.3139836321
40,"213 Softwood CIR Roswell, GA 30076",Yuri Frost,female,60,249,34.0108706824,-84.3139884547
41,"109 Softwood CIR Roswell, GA 30076",Hiram Fernandez,male,29,737,34.0121322066,-84.3135120766
42,"440 Cruise CT Roswell, GA 30076",Billie Sosa,male,10,273,34.0075083697,-84.3187772107
43,"223 Lakeview RDG  E Roswell, GA 30076",Rex Bartlett,male,60,319,34.0086454289,-84.3185523511
44,"100 Lace Wing CT Roswell, GA 30076",Caterina Hendrix,female,21,161,34.0119424113,-84.3101972983
45,"100 Floss Flower CT Roswell, GA 30076",Bret Stanley,male,35,398,34.0100971195,-84.3131940026
46,"112 Lakeview RDG  E Roswell, GA 30076",Ivory Butler,male,14,144,34.0099193524,-84.3181804955
47,"116 Cruise CT Roswell, GA 30076",Un Joyner,female,31,496,34.0075545584,-84.3183734734
48,"2105 Harbor LNDG Roswell, GA 30076",Quinton Huff,male,17,646,34.0077361906,-84.317061541
49,"340 Sea Holly CIR Roswell, GA 30076",Joye Thornton,female,12,129,34.0124907327,-84.3095460956
50,"1603 Harbor LNDG Roswell, GA 30076",Cristobal Collins,male,25,264,34.0064191195,-84.316703133
51,"333 Lakeview RDG  E Roswell, GA 30076",Dirk Chavez,male,53,995,34.0074644956,-84.3182365092
52,"2500 Harbor LNDG Roswell, GA 30076",Lorita Rush,female,30,433,34.0089114003,-84.3169032849
53,"133 Softwood CIR Roswell, GA 30076",Isreal Chase,male,27,287,34.0120105557,-84.3140400471
54,"216 Lakeview RDG  E Roswell, GA 30076",Harold Pruitt,male,37,595,34.0086857076,-84.3184217708
55,"647 Cruise CT Roswell, GA 30076",Bernard Shannon,male,52,85,34.0077244027,-84.3187566972
56,"200 Twinspur CT Roswell, GA 30076",Hassan Singleton,male,34,727,34.0126559248,-84.3114205418
57,"128 Windward LN Roswell, GA 30076",Lindsay Chambers,male,14,133,34.0091339689,-84.319177318
58,"212 Lakeview RDG  E Roswell, GA 30076",Wesley Fox,female,58,434,34.0087322461,-84.3184095239
59,"700 Harbor LNDG Roswell, GA 30076",Numbers Glenn,male,50,609,34.0089577623,-84.3162670659
60,"100 Sun Moss CT Roswell, GA 30076",Herman Thomas,male,35,239,34.0114495582,-84.3124928037
61,"116 Leeward LN Roswell, GA 30076",Jesus Gilmore,male,16,112,34.0068884986,-84.3198439342
62,"408 Cruise CT Roswell, GA 30076",Garret Scott,male,33,731,34.0074892674,-84.3187485572
63,"224 Lakeview RDG  E Roswell, GA 30076",Farah Wynn,female,52,975,34.0085944716,-84.3184453615
64,"800 Harbor LNDG Roswell, GA 30076",Sherise Sutton,female,56,375,34.0088142514,-84.3161444256
65,"1400 Harbor LNDG Roswell, GA 30076",Bennett Guzman,male,52,426,34.0068261616,-84.3159332489
66,"907 Harbor LNDG Roswell, GA 30076",Royce Dotson,male,10,733,34.0079007946,-84.3166761324
67,"1205 Harbor LNDG Roswell, GA 30076",Reanna Arnold,female,39,427,34.0077017345,-84.3162025006
68,"110 Truehedge TRCE Roswell, GA 30076",Carmina Beasley,female,30,344,34.01234868,-84.3131270658
69,"107 Lakeview RDG  W Roswell, GA 30076",Giuseppina Brown,female,28,739,34.0102544131,-84.3196905009
70,"1700 Harbor LNDG Roswell, GA 30076",Lavenia Lott,female,23,1035,34.0066156504,-84.3163948701
71,"136 Lakeview RDG  W Roswell, GA 30076",Kerry Lucas,male,30,620,34.0099059225,-84.3195580159
72,"218 Softwood CIR Roswell, GA 30076",Marquitta Burgess,female,68,388,34.0108755051,-84.3138167328
73,"2200 Harbor LNDG Roswell, GA 30076",Genie Hancock,female,46,259,34.0077984032,-84.3167663336
74,"101 Southwind CIR Roswell, GA 30076",Lore Carver,female,57,269,34.0067035635,-84.3191764365
75,"245 Southwind CIR Roswell, GA 30076",Ali Jenkins,male,49,709,34.0061447582,-84.3178287367
76,"119 Softwood CIR Roswell, GA 30076",Billy Brown,male,69,314,34.0121404134,-84.3137626685
77,"248 Sea Holly CIR Roswell, GA 30076",Stan Bush,male,46,486,34.0108617038,-84.3099354331
78,"122 Starboard PT Roswell, GA 30076",Shaun Cervantes,male,56,344,34.0067952084,-84.3201915135
79,"100 Harbor LNDG Roswell, GA 30076",Percy Franco,male,47,487,34.0100824602,-84.3167492587
80,"286 Truehedge TRCE Roswell, GA 30076",Ngan James,female,67,564,34.0118634242,-84.310817444
81,"248 Cruise CT Roswell, GA 30076",Lino Shelton,male,44,636,34.0074857608,-84.3185163778
82,"140 Twinspur Close Roswell, GA 30076",Brock Hinton,male,44,308,34.0125075501,-84.3120794074
83,"115 Lakeview RDG  W Roswell, GA 30076",Miguel Hutchinson,male,14,489,34.0100204147,-84.3196561274
84,"609 Harbor LNDG Roswell, GA 30076",Giuseppina Wright,female,42,220,34.0089571793,-84.3164518235
85,"202 Softwood CIR Roswell, GA 30076",Vincent Mcmahon,male,49,529,34.0110980374,-84.3140392651
86,"120 Southwind CIR Roswell, GA 30076",Dennis Lancaster,male,41,41,34.0065135574,-84.3190607463
87,"332 Sea Holly CIR Roswell, GA 30076",Ardath Cervantes,female,25,763,34.0118323573,-84.3091552545
88,"145 Sea Holly CIR Roswell, GA 30076",Hung Walters,male,63,415,34.0110677091,-84.3109479572
89,"231 Leeward LN Roswell, GA 30076",Kiley Osborne,female,30,116,34.0066465243,-84.318380651
90,"345 Southwind CIR Roswell, GA 30076",Tinisha Travis,female,51,321,34.0069582132,-84.3177421214
91,"203 Leeward LN Roswell, GA 30076",Shyla Thomas,female,20,57,34.0066432631,-84.3186356265
92,"113 Twinspur Close Roswell, GA 30076",Boyd Wallace,male,33,409,34.0120896468,-84.3113495372
93,"1000 Harbor LNDG Roswell, GA 30076",Verline Kim,female,47,59,34.0078405546,-84.3166714358
94,"200 Harbor LNDG Roswell, GA 30076",Dagmar Sanford,female,33,408,34.0099587413,-84.3166984602
95,"130 Twinspur Close Roswell, GA 30076",Shirley Horton,male,63,208,34.0125175651,-84.3119318197
96,"132 Starboard PT Roswell, GA 30076",Nicky Delgado,female,35,373,34.0067544679,-84.3202101862
97,"114 Truehedge TRCE Roswell, GA 30076",Avery Carney,female,18,92,34.01243316,-84.3130924214
98,"319 Lakeview RDG  E Roswell, GA 30076",Curt Brooks,male,11,249,34.0075639926,-84.3183328969
99,"238 Leeward LN Roswell, GA 30076",Keira Cannon,female,15,280,34.0067952055,-84.3183302432
100,"247 Lakeview RDG  W Roswell, GA 30076",Ellis Garrett,female,60,192,34.0083445415,-84.3197840084
101,"167 Truehedge TRCE Roswell, GA 30076",Song Kerr,female,12,286,34.0112947625,-84.3131425885
102,"224 Truehedge TRCE Roswell, GA 30076",Rhona Marks,female,48,47,34.010751422,-84.3120650364
103,"124 Leeward LN Roswell, GA 30076",Clora Daniels,female,9,499,34.0068760492,-84.3197298149
104,"223 Softwood CIR Roswell, GA 30076",Trinh Luna,female,17,531,34.0107354306,-84.3138640816
105,"319 Lakeview RDG  W Roswell, GA 30076",Margarito Dalton,male,30,527,34.0077566101,-84.3202965561
106,"213 Lakeview RDG  E Roswell, GA 30076",Jeffrey White,male,53,311,34.008761775,-84.3185217338
107,"248 Lakeview RDG  W Roswell, GA 30076",Mariella French,female,60,193,34.0084482296,-84.319606477
108,"210 Leeward LN Roswell, GA 30076",Corie Alford,female,54,230,34.0068451738,-84.3180824856
109,"331 Sea Holly CIR Roswell, GA 30076",Adaline Cunningham,female,37,380,34.0118433087,-84.3090332119
110,"339 Southwind CIR Roswell, GA 30076",Melany Stanley,female,63,383,34.0064635079,-84.3175693503
111,"117 Starboard PT Roswell, GA 30076",Caleb Holland,male,41,289,34.0067299044,-84.3203419365
112,"311 Harbor LNDG Roswell, GA 30076",Jackson Rivas,male,54,174,34.0100074192,-84.3165070103
113,"217 Cruise CT Roswell, GA 30076",Stephen Burke,female,52,208,34.0076258924,-84.3185207782
114,"136 Softwood CIR Roswell, GA 30076",Thomasine Bird,female,65,332,34.0118558535,-84.3140467368
115,"500 Harbor LNDG Roswell, GA 30076",Frankie Patton,male,6,799,34.0089400445,-84.3166231711
116,"120 Twinspur Close Roswell, GA 30076",Velvet Atkinson,female,61,852,34.0121028621,-84.3114522135
117,"142 Lakeview RDG  W Roswell, GA 30076",Vance Rosa,male,35,49,34.0098301624,-84.3195542279
118,"307 Sea Holly CIR Roswell, GA 30076",Xochitl Joseph,female,53,468,34.0113827855,-84.3089881623
119,"208 Truehedge TRCE Roswell, GA 30076",Scot Maxwell,male,24,366,34.0106827838,-84.3125284919
120,"900 Harbor LNDG Roswell, GA 30076",Nyla Christian,female,24,328,34.0078328336,-84.3166550968
121,"410 Cruise CT Roswell, GA 30076",Claris Palmer,female,37,396,34.0074904612,-84.3187503481
122,"239 Cruise CT Roswell, GA 30076",Charles Shepherd,male,36,46,34.0076187703,-84.3185445184
123,"1100 Harbor LNDG Roswell, GA 30076",Kristel Ewing,female,13,408,34.0079397506,-84.3163549768
124,"118 Starboard PT Roswell, GA 30076",Terina Finch,female,69,582,34.0068115046,-84.3201840444
125,"643 Cruise CT Roswell, GA 30076",Kazuko Delaney,female,21,53,34.0077206338,-84.318757451
126,"249 Softwood CIR Roswell, GA 30076",Lurline Potts,female,15,359,34.0103294242,-84.3135783735
127,"249 Cruise CT Roswell, GA 30076",Darryl Wooten,male,18,600,34.007615533,-84.3185553095
128,"703 Cruise CT Roswell, GA 30076",Nancee Brennan,female,29,270,34.0077771676,-84.3187461443
129,"326 Sea Holly CIR Roswell, GA 30076",Kemberly Gross,female,54,94,34.011734429,-84.3091160832
130,"905 Cruise CT Roswell, GA 30076",Russell Burke,female,60,177,34.0078973107,-84.3186430201
131,"217 Lakeview RDG  W Roswell, GA 30076",Bertram Galloway,male,61,476,34.0086241347,-84.3196621503
132,"247 Softwood CIR Roswell, GA 30076",Dudley Chaney,male,56,45,34.0103606555,-84.313600351
133,"400 Harbor LNDG Roswell, GA 30076",Halley Perry,female,29,215,34.0089243245,-84.3167803708
134,"438 Cruise CT Roswell, GA 30076",Lawrence Vega,male,35,370,34.0075071758,-84.3187754199
135,"301 Truehedge TRCE Roswell, GA 30076",Wayne Morton,male,19,399,34.0117630412,-84.3107373528
136,"1807 Harbor LNDG Roswell, GA 30076",Angle Benjamin,female,41,691,34.0065565826,-84.3167228048
137,"216 Southwind CIR Roswell, GA 30076",Elanor Morgan,female,27,161,34.0060947691,-84.3184453896
138,"124 Southwind CIR Roswell, GA 30076",Minta Powers,female,50,245,34.0064736958,-84.3190518882
139,"100 Winterberry CT Roswell, GA 30076",Emmie Cooper,female,57,290,34.0106726153,-84.3103187342
140,"201 Truehedge TRCE Roswell, GA 30076",Cassaundra Fuller,female,69,723,34.010538784,-84.312452013
141,"145 Softwood CIR Roswell, GA 30076",Hank Neal,male,40,510,34.0117012234,-84.3145078024
142,"218 Sea Holly CIR Roswell, GA 30076",Kirby English,male,16,628,34.0108740301,-84.3104549669
143,"310 Cruise CT Roswell, GA 30076",Rusty Warner,male,68,256,34.0074660323,-84.3186036758
144,"335 Truehedge TRCE Roswell, GA 30076",Austin Velazquez,male,19,61,34.0120116605,-84.3103999409
145,"1200 Harbor LNDG Roswell, GA 30076",Rosamond Mcintyre,female,66,532,34.0077127025,-84.3162076712
146,"313 Cruise CT Roswell, GA 30076",Reda Livingston,female,57,367,34.0076039677,-84.3186059697
147,"246 Southwind CIR Roswell, GA 30076",Carlton Lang,male,63,92,34.0061668427,-84.318195706
148,"1900 Harbor LNDG Roswell, GA 30076",Katharina Mosley,female,61,265,34.0071954443,-84.3169550908
149,"232 Sea Holly CIR Roswell, GA 30076",Jeanett Fletcher,female,38,309,34.0108313507,-84.310246355
150,"338 Southwind CIR Roswell, GA 30076",Javier Roy,male,50,569,34.0064541401,-84.3176844969
151,"148 Twinspur Close Roswell, GA 30076",Sarai Lowery,female,31,410,34.0124784968,-84.3118724882
152,"232 Lakeview RDG  W Roswell, GA 30076",Toshia Faulkner,female,47,295,34.0086195915,-84.3195373795
153,"510 Cruise CT Roswell, GA 30076",Elanor Huffman,female,17,191,34.0075743692,-84.3188413081
154,"161 Truehedge TRCE Roswell, GA 30076",Eugene Davis,male,53,359,34.0113904846,-84.3132182757
155,"309 Lakeview RDG  E Roswell, GA 30076",Tianna Kinney,female,58,448,34.0077006395,-84.3184305596
156,"1800 Harbor LNDG Roswell, GA 30076",Xochitl Thornton,female,60,233,34.0065343312,-84.3167698753
157,"148 Leeward LN Roswell, GA 30076",Hsiu Francis,female,34,591,34.0068600625,-84.319389507
158,"207 Starboard PT Roswell, GA 30076",Clinton Brady,male,55,801,34.0055373149,-84.3204460004
159,"232 Southwind CIR Roswell, GA 30076",Denisse Chavez,female,18,267,34.0061332084,-84.318312225
160,"232 Truehedge TRCE Roswell, GA 30076",Dominique Albert,male,49,373,34.0108296042,-84.3118365039
161,"103 Windward LN Roswell, GA 30076",Dante Lawrence,male,56,835,34.0089960311,-84.3194435516
162,"125 Lakeview RDG  E Roswell, GA 30076",Antonia Lester,male,69,346,34.0095702048,-84.3183260763
163,"615 Cruise CT Roswell, GA 30076",Margene Copeland,female,60,131,34.0077054528,-84.3187600635
164,"116 Southwind CIR Roswell, GA 30076",Evita Rios,female,11,638,34.0065414096,-84.3190615635
165,"258 Softwood CIR Roswell, GA 30076",Timmy Barron,male,25,604,34.0102740542,-84.3133461999
166,"341 Cruise CT Roswell, GA 30076",Cole Aguilar,male,56,519,34.0076039677,-84.3186380853
167,"407 Cruise CT Roswell, GA 30076",Lorita Ewing,female,49,558,34.0075957561,-84.318674978
168,"201 Cruise CT Roswell, GA 30076",Elfrieda Small,female,52,448,34.0076265748,-84.3185168301
169,"108 Leeward LN Roswell, GA 30076",Daren Walsh,male,54,44,34.006900948,-84.3199580535
170,"322 Southwind CIR Roswell, GA 30076",Harrison Phelps,male,63,463,34.0063655252,-84.3176867128
171,"139 Leeward LN Roswell, GA 30076",Reinaldo Thornton,male,11,544,34.0067287853,-84.319539356
172,"122 Softwood CIR Roswell, GA 30076",Kortney Barber,female,31,808,34.011986183,-84.3138060688
173,"120 Cruise CT Roswell, GA 30076",Berenice Carrillo,female,22,352,34.0075524782,-84.3183773218
174,"2100 Harbor LNDG Roswell, GA 30076",Rusty Serrano,male,21,143,34.0077228907,-84.3170547288
175,"218 Truehedge TRCE Roswell, GA 30076",Roberto Simmons,male,35,82,34.0107147721,-84.3122326224
176,"134 Windward LN Roswell, GA 30076",Felix Grant,male,40,280,34.0091314177,-84.3191113579
177,"239 Starboard PT Roswell, GA 30076",Lovetta Trujillo,female,13,438,34.0055294153,-84.3203149228
178,"544 Cruise CT Roswell, GA 30076",Reinaldo Cook,male,40,899,34.0076015454,-84.3188626608
179,"243 Southwind CIR Roswell, GA 30076",Del Curtis,male,66,399,34.0060202731,-84.3182143569
180,"240 Starboard PT Roswell, GA 30076",Wendie Calderon,female,30,103,34.0063027662,-84.3202334009
181,"151 Truehedge TRCE Roswell, GA 30076",Setsuko Dunlap,female,33,317,34.0115646132,-84.3133467778
182,"212 Truehedge TRCE Roswell, GA 30076",Ginette French,female,35,231,34.0106841833,-84.3124142436
183,"104 Softwood CIR Roswell, GA 30076",Buddy Vang,male,40,350,34.0119792725,-84.3134618397
184,"331 Lakeview RDG  W Roswell, GA 30076",Sebastian Wilson,male,46,168,34.0076411902,-84.3203398385
185,"224 Sea Holly CIR Roswell, GA 30076",Carlos Carter,female,24,346,34.0108564449,-84.3104145209
186,"122 Lakeview RDG  E Roswell, GA 30076",Sebastian Ratliff,male,52,419,34.0098111496,-84.3182040179
187,"124 Lakeview RDG  E Roswell, GA 30076",Ted Ochoa,male,11,449,34.0097895091,-84.3182087224
188,"435 Cruise CT Roswell, GA 30076",Lesha Dale,female,22,173,34.0076124706,-84.3187000497
189,"108 Starboard PT Roswell, GA 30076",Omega Green,female,24,251,34.0068114634,-84.3201641492
190,"143 Windward LN Roswell, GA 30076",Rebbeca Moran,female,29,151,34.0089884251,-84.3190389759
191,"115 Twinspur Close Roswell, GA 30076",Xenia Weber,female,42,475,34.0120870613,-84.3113743232
192,"235 Southwind CIR Roswell, GA 30076",Lyndon Bryant,male,64,333,34.0061218021,-84.317996295
193,"146 Lakeview RDG  E Roswell, GA 30076",Nicky Alston,male,6,351,34.0095582657,-84.3182375064
194,"111 Leeward LN Roswell, GA 30076",Katlyn Combs,female,39,378,,
195,"218 Cruise CT Roswell, GA 30076",Nieves Jacobs,female,12,231,34.0074954728,-84.3184840047
196,"400 Cruise CT Roswell, GA 30076",Shaniqua Holloway,female,47,145,34.0075541746,-84.3187852132
197,"220 Softwood CIR Roswell, GA 30076",Madelaine Owens,female,36,371,34.0107906314,-84.3137850767
198,"136 Twinspur Close Roswell, GA 30076",Lesley Garza,male,25,310,34.0124817785,-84.3118106822
199,"2000 Harbor LNDG Roswell, GA 30076",Carol Stewart,male,58,177,34.0074328924,-84.3171105627
200,"159 Lakeview RDG  W Roswell, GA 30076",Jolie Poole,female,25,516,34.0093828727,-84.3196246328
201,"530 Cruise CT Roswell, GA 30076",Travis Eaton,male,16,498,34.0075903552,-84.3188538685
202,"147 Softwood CIR Roswell, GA 30076",John Cummings,male,44,577,34.0118671878,-84.3142909409
203,"254 Softwood CIR Roswell, GA 30076",Lucina Wilkins,female,62,796,34.0103270992,-84.3134053654
204,"156 Lakeview RDG  W Roswell, GA 30076",Prince Peters,male,30,472,34.0096570059,-84.3195380418
205,"112 Twinspur Close Roswell, GA 30076",Drew Coffey,female,28,709,34.0120409468,-84.311457013
206,"236 Southwind CIR Roswell, GA 30076",Deandrea Reilly,female,26,208,34.0061428182,-84.3182789339
207,"119 Lakeview RDG  E Roswell, GA 30076",Claud Baird,male,51,432,34.0098790037,-84.3183076444
208,"137 Softwood CIR Roswell, GA 30076",Garth Reid,male,49,179,34.0119695935,-84.3141117311
209,"528 Cruise CT Roswell, GA 30076",Jeff Johnston,male,35,217,34.0075887566,-84.3188526125
210,"215 Starboard PT Roswell, GA 30076",Valentine Scott,female,29,160,34.0055304097,-84.3204201061
211,"327 Southwind CIR Roswell, GA 30076",Augustine Barry,male,68,351,34.0063654395,-84.3175675635
212,"245 Leeward LN Roswell, GA 30076",Boyd Landry,male,58,415,34.0066733422,-84.3182492922
213,"303 Lakeview RDG  E Roswell, GA 30076",Dion Guthrie,female,18,321,34.0077217053,-84.3184431991
214,"648 Cruise CT Roswell, GA 30076",Catrice Hurley,female,69,168,34.0077489495,-84.3188696323
215,"639 Cruise CT Roswell, GA 30076",Alysa Mendez,female,52,106,34.0077168648,-84.3187582048
216,"126 Sea Holly CIR Roswell, GA 30076",Arlena Guzman,female,23,616,34.0112419991,-84.3109791186
217,"820 Cruise CT Roswell, GA 30076",Arlyne Case,female,17,275,34.0079209882,-84.3188037221
218,"347 Truehedge TRCE Roswell, GA 30076",Chantay Olsen,female,51,115,34.012184845,-84.3101634355
219,"2300 Harbor LNDG Roswell, GA 30076",Carisa Beard,female,25,321,34.0087775021,-84.3169082981
220,"203 Starboard PT Roswell, GA 30076",Joella Harding,female,62,294,34.0055407674,-84.3204589475
221,"113 Truehedge TRCE Roswell, GA 30076",Buena Whitfield,female,66,276,34.0124985868,-84.3132019653
222,"421 Cruise CT Roswell, GA 30076",Darell Murray,male,40,42,34.0076041134,-84.3186875139
223,"331 Truehedge TRCE Roswell, GA 30076",Marisha Wall,female,27,583,34.0119824112,-84.3104396364
224,"338 Lakeview RDG  E Roswell, GA 30076",Tifany Bond,female,62,486,34.0075084644,-84.3181057958
225,"714 Cruise CT Roswell, GA 30076",Adalberto Bryan,male,11,389,34.0078111368,-84.3188571949
226,"141 Softwood CIR Roswell, GA 30076",Fernando Hoffman,male,50,557,34.0119286312,-84.314183415
227,"310 Sea Holly CIR Roswell, GA 30076",Saul Mann,male,7,672,34.0117158096,-84.3090712419
228,"130 Softwood CIR Roswell, GA 30076",Terrell Sandoval,male,5,414,34.0117181673,-84.3143557796
229,"244 Southwind CIR Roswell, GA 30076",Romeo Mayo,male,60,336,34.0061620378,-84.3182123516
230,"138 Starboard PT Roswell, GA 30076",Berna Torres,female,22,399,34.0067300236,-84.3202213899
231,"630 Cruise CT Roswell, GA 30076",Arletha Hunt,female,15,586,34.0077319894,-84.3188730243
232,"344 Southwind CIR Roswell, GA 30076",Rosendo Bradford,male,33,50,34.0064978161,-84.3176910483
233,"737 Cruise CT Roswell, GA 30076",Lindsey Vaughan,male,43,277,34.0077905975,-84.3187394057
234,"212 Softwood CIR Roswell, GA 30076",Valentin Clarke,male,53,408,34.0109589547,-84.3139001824
235,"116 Windward LN Roswell, GA 30076",Walter Castaneda,male,18,470,34.0091339689,-84.319300195
236,"618 Cruise CT Roswell, GA 30076",Celestina Stephens,female,23,427,34.0077092736,-84.3188749365
237,"321 Cruise CT Roswell, GA 30076",Tula Baldwin,female,24,359,34.0076039677,-84.3186151456
238,"206 Truehedge TRCE Roswell, GA 30076",Elton Cook,male,45,689,34.0107154854,-84.3125593767
239,"105 Cruise CT Roswell, GA 30076",Mac O'connor,male,54,207,34.0076764997,-84.3184244691
240,"228 Sea Holly CIR Roswell, GA 30076",Dell Morgan,female,69,211,34.0108447214,-84.3103875569
241,"124 Starboard PT Roswell, GA 30076",Tanner Guerra,male,28,181,34.0067870603,-84.3201952481
242,"214 Lakeview RDG  E Roswell, GA 30076",Alexander Gardner,female,29,99,34.0087089768,-84.3184156474
243,"345 Lakeview RDG  W Roswell, GA 30076",Neda Mack,female,58,363,34.0074889666,-84.3203661383
244,"243 Starboard PT Roswell, GA 30076",Gregory Nguyen,male,67,255,34.0055309126,-84.3203014476
245,"224 Leeward LN Roswell, GA 30076",Tabetha Woodard,female,51,223,34.0067813929,-84.3184409218
246,"844 Cruise CT Roswell, GA 30076",Clifton Neal,male,31,257,34.0079590005,-84.3187717226
247,"738 Cruise CT Roswell, GA 30076",Torri Crawford,female,30,293,34.0078497756,-84.318842889
248,"142 Southwind CIR Roswell, GA 30076",Rigoberto Gray,male,57,386,34.0063058579,-84.3190033319
249,"219 Sea Holly CIR Roswell, GA 30076",Yaeko Benton,female,44,394,34.0107517518,-84.3105081314
250,"107 Sea Holly CIR Roswell, GA 30076",Walton Blair,male,67,234,34.0112038414,-84.3111693473
251,"741 Cruise CT Roswell, GA 30076",Bennie Spears,male,6,236,34.0077940713,-84.3187374952
252,"119 Cruise CT Roswell, GA 30076",Warren Clayton,male,49,654,34.007669219,-84.3184379385
253,"219 Lakeview RDG  E Roswell, GA 30076",Erline Webster,female,10,518,34.0086919673,-84.3185401042
254,"336 Sea Holly CIR Roswell, GA 30076",Lyla Bennett,female,19,317,34.0118976429,-84.3091813687
255,"309 Cruise CT Roswell, GA 30076",Annita Hoover,female,14,318,34.0076039677,-84.3186013818
256,"202 Lakeview RDG  E Roswell, GA 30076",Angelo Perkins,female,54,476,34.0088485922,-84.3183789065
257,"347 Sea Holly CIR Roswell, GA 30076",Merilyn Patterson,female,57,56,34.0121045902,-84.3091393766
258,"214 Cruise CT Roswell, GA 30076",Raymundo Quinn,male,12,701,34.0074967677,-84.3184796883
259,"933 Cruise CT Roswell, GA 30076",Kaci Wheeler,female,65,558,34.0079029393,-84.3186292936
260,"414 Cruise CT Roswell, GA 30076",Sacha Michael,female,59,246,34.007492849,-84.3187539298
261,"137 Lakeview RDG  W Roswell, GA 30076",Olimpia Ortega,female,41,424,34.0097496383,-84.3196636016
