Address,Name,Gender,Age,Latitude,Longitude
"212 Chads Ford WAY Roswell, GA 30076",Merrilee Keller,female,14,34.0274770732588,-84.3220376646083
"500 Creekside WAY Roswell, GA 30076",Mason Erickson,male,66,34.02607033353272,-84.32915128614968
"148 Creekside WAY Roswell, GA 30076",Debbra Workman,female,53,34.02631925143864,-84.32963039802675
"133 Creekside WAY Roswell, GA 30076",Darlena Jacobs,female,22,34.02634426574325,-84.32952351872524
"1300 Creekside WAY Roswell, GA 30076",Junior Mendez,male,17,34.02724591065769,-84.32964071910268
"254 Chads Ford WAY Roswell, GA 30076",Myesha Duran,female,24,34.028635933954575,-84.32211665349979
"268 Chads Ford WAY Roswell, GA 30076",Ervin Lowe,male,16,34.02779164875925,-84.32229216663211
"108 Creekside WAY Roswell, GA 30076",Wiley Ferguson,male,9,34.02638595625093,-84.32934538655606
"147 Creekside WAY Roswell, GA 30076",Rosette Gardner,female,21,34.026320919058946,-84.32962327273998
"129 Creekside WAY Roswell, GA 30076",Cristobal Jenkins,male,49,34.02635093622448,-84.32949501757817
"900 Creekside WAY Roswell, GA 30076",Kieth Lee,male,62,34.028407299646595,-84.33069716961168
"145 Creekside WAY Roswell, GA 30076",Tyler Goff,male,45,34.02632425429957,-84.32960902216645
"105 Creekside WAY Roswell, GA 30076",Janita Randolph,female,66,34.02639095911185,-84.32932401069576
"248 Chads Ford WAY Roswell, GA 30076",Edelmira Logan,female,10,34.02851022759532,-84.3222104407639
"128 Creekside WAY Roswell, GA 30076",Necole Price,female,35,34.026352603844785,-84.3294878922914
"127 Creekside WAY Roswell, GA 30076",Rueben Glover,male,16,34.02635427146509,-84.32948076700464
"637 Creekside WAY Roswell, GA 30076",Graig Bullock,male,5,34.02746244599406,-84.32963039106083
"138 Lakeview RDG  W Roswell, GA 30076",Renato Eaton,male,58,34.009880669121216,-84.31955675325312
"126 Leeward LN Roswell, GA 30076",Arletta Ramos,female,24,34.006874266909264,-84.31970555607863
"122 Softwood CIR Roswell, GA 30076",Dan Cobb,male,21,34.011986182988004,-84.31380606880909
"311 Harbor LNDG Roswell, GA 30076",Daniel Berry,male,45,34.01000741922658,-84.31650701028252
"1000 Harbor LNDG Roswell, GA 30076",Heike Mejia,female,26,34.007840554574884,-84.31667143582938
"219 Lakeview RDG  E Roswell, GA 30076",Valery Landry,female,66,34.00869196731118,-84.31854010418985
"101 Softwood CIR Roswell, GA 30076",Davis Walton,male,17,34.012090573451786,-84.31334554407107
"2000 Harbor LNDG Roswell, GA 30076",Leonard Wilder,male,38,34.007432892352554,-84.31711056273846
"800 Harbor LNDG Roswell, GA 30076",Carrol Pate,male,28,34.00881425137493,-84.3161444255561
"206 Sea Holly CIR Roswell, GA 30076",Douglass Neal,male,49,34.01090227581201,-84.31052625475043
"2315 Harbor LNDG Roswell, GA 30076",Salley Conner,female,36,34.00877344075807,-84.31701592233456
"100 Floss Flower CT Roswell, GA 30076",Raelene Matthews,female,44,34.010097119548675,-84.31319400262116
"400 Harbor LNDG Roswell, GA 30076",Miki King,female,17,34.008924324518915,-84.31678037084816
"147 Cruise CT Roswell, GA 30076",Dylan Harper,male,63,34.00765465754995,-84.31846487707591
"604 Cruise CT Roswell, GA 30076",Azalee Bender,female,21,34.00769590064274,-84.31887493648566
"2200 Harbor LNDG Roswell, GA 30076",Nickolas Tillman,male,17,34.00779840317196,-84.31676633360198
"228 Lakeview RDG  E Roswell, GA 30076",Kathrin Bush,female,10,34.00854765978673,-84.31845600051355
"236 Lakeview RDG  E Roswell, GA 30076",Sean Pittman,female,66,34.00845403612544,-84.31847727861837
"530 Cruise CT Roswell, GA 30076",Jarrod Grimes,male,39,34.00759035520831,-84.31885386854067
"1700 Harbor LNDG Roswell, GA 30076",Anette Larsen,female,9,34.006615650404264,-84.31639487006143
"2500 Harbor LNDG Roswell, GA 30076",Retta Wyatt,female,48,34.008911400261695,-84.31690328486407
"411 Cruise CT Roswell, GA 30076",Adalberto Lott,male,30,34.00759814389929,-84.31867855964305
"138 Lakeview RDG  E Roswell, GA 30076",Walker Witt,male,44,34.00964612967462,-84.31823233795798
"200 Twinspur CT Roswell, GA 30076",Carrol Shannon,male,15,34.012655924807966,-84.31142054177961
"311 Cruise CT Roswell, GA 30076",Pei Lopez,female,45,34.00760396766132,-84.31860367577863
"803 Cruise CT Roswell, GA 30076",Kit Barrera,female,24,34.00784791492629,-84.31870788116933
"323 Cruise CT Roswell, GA 30076",Wen Burch,female,28,34.00760396766132,-84.31861743957687
"319 Lakeview RDG  W Roswell, GA 30076",Latoria Jones,female,15,34.007756610134514,-84.32029655606296
"700 Harbor LNDG Roswell, GA 30076",Jackson Hoffman,male,49,34.0089577622866,-84.31626706588395
"100 Winterberry CT Roswell, GA 30076",Delana Ellis,female,27,34.01067261530712,-84.3103187342305
"308 Sea Holly CIR Roswell, GA 30076",Rusty Reed,male,63,34.01147081328354,-84.3090812769973
"1300 Harbor LNDG Roswell, GA 30076",Dionna Cotton,female,30,34.00731067376805,-84.31621875305224
"615 Cruise CT Roswell, GA 30076",Lonna Levine,female,32,34.00770545275488,-84.31876006351433
"203 Cruise CT Roswell, GA 30076",Bernie Case,male,11,34.00762553471542,-84.31851875431977
"268 Truehedge TRCE Roswell, GA 30076",Sona Schroeder,female,28,34.01148838343678,-84.31117745121858
"224 Lakeview RDG  E Roswell, GA 30076",Denisse Gilbert,female,49,34.00859447161737,-84.31844536146113
"907 Harbor LNDG Roswell, GA 30076",Lanita Church,female,34,34.007900794642765,-84.31667613238828
"128 Softwood CIR Roswell, GA 30076",Deangelo Hyde,male,42,34.01193777797341,-84.31390336893014
"1807 Harbor LNDG Roswell, GA 30076",Dylan Hahn,male,13,34.00655658264484,-84.31672280482344
"2105 Harbor LNDG Roswell, GA 30076",Reagan Cervantes,female,53,34.00773619058053,-84.3170615409617
"500 Harbor LNDG Roswell, GA 30076",Corazon Ramsey,female,59,34.00894004448918,-84.3166231711455
"438 Cruise CT Roswell, GA 30076",Leslie Cain,male,42,34.007507175773924,-84.31877541986677
"929 Cruise CT Roswell, GA 30076",Zenia Marks,female,38,34.00790111793825,-84.31863332672162
"108 Softwood CIR Roswell, GA 30076",Clifford Matthews,male,34,34.01200008906291,-84.3135451059877
"223 Southwind CIR Roswell, GA 30076",Melodi Robinson,female,53,34.00597137362194,-84.31838375873892
"314 Sea Holly CIR Roswell, GA 30076",Brice Rojas,male,55,34.01156600316103,-84.30906163754341
"1100 Harbor LNDG Roswell, GA 30076",Shemeka Mendoza,female,47,34.007939750600485,-84.3163549767689
"142 Starboard PT Roswell, GA 30076",Noe Knox,male,58,34.00671372745562,-84.32022885894769
"742 Cruise CT Roswell, GA 30076",Abel Stephens,male,26,34.00785324942138,-84.31884097843945
"214 Cruise CT Roswell, GA 30076",Esta Rivera,female,30,34.00749676768353,-84.31847968832318
"314 Cruise CT Roswell, GA 30076",Humberto Sanford,male,32,34.00746603233869,-84.31860826371138
"345 Lakeview RDG  W Roswell, GA 30076",Tamisha Mack,female,31,34.00748896656586,-84.32036613827991
"1603 Harbor LNDG Roswell, GA 30076",Clotilde Bennett,female,12,34.0064191194756,-84.31670313299871
"203 Southwind CIR Roswell, GA 30076",Marianela Glenn,female,61,34.00592600286783,-84.31857117246554
"126 Windward LN Roswell, GA 30076",Michaele Gill,female,45,34.00913396889822,-84.31919779750534
"135 Leeward LN Roswell, GA 30076",Samira Weber,female,58,34.006731367945136,-84.31959681943161
"145 Truehedge TRCE Roswell, GA 30076",Shannon Holland,male,36,34.01164364195861,-84.3133516325522
"207 Lakeview RDG  E Roswell, GA 30076",Russell Stafford,male,61,34.00883158263493,-84.31850336331517
"200 Harbor LNDG Roswell, GA 30076",Zulema Bell,female,61,34.00995874130101,-84.31669846020755
"1900 Harbor LNDG Roswell, GA 30076",Alane Horne,female,29,34.00719544425165,-84.31695509076764
"301 Lakeview RDG  W Roswell, GA 30076",Jacquie Bentley,female,65,34.00793865504693,-84.32016746452341
"227 Sea Holly CIR Roswell, GA 30076",Douglass Estes,male,17,34.010728304806285,-84.3104542034387
"141 Windward LN Roswell, GA 30076",Cornell Nielsen,male,66,34.008989801216906,-84.3190593886046
"624 Cruise CT Roswell, GA 30076",Malisa Watts,female,65,34.007726335996416,-84.3188741550175
"203 Sea Holly CIR Roswell, GA 30076",Tanna Reeves,female,25,34.01081042128257,-84.31062179089143
"443 Cruise CT Roswell, GA 30076",Jarvis Rosales,male,17,34.00761724621497,-84.31870721311655
"268 Softwood CIR Roswell, GA 30076",Clelia Rhodes,female,27,34.010256452650374,-84.31311795350794
"225 Leeward LN Roswell, GA 30076",Rasheeda Vazquez,female,47,34.00677777517465,-84.31807247056963
"208 Softwood CIR Roswell, GA 30076",Willodean Delgado,female,47,34.011014587808816,-84.3139558155145
"211 Leeward LN Roswell, GA 30076",Connie Leach,male,27,34.0066392244442,-84.31856495085852
"131 Starboard PT Roswell, GA 30076",Numbers Mckenzie,male,65,34.006559754766016,-84.32033934669181
"124 Sea Holly CIR Roswell, GA 30076",Deane Dean,female,69,34.011249492359944,-84.31099138025641
"221 Leeward LN Roswell, GA 30076",Kayce Chavez,female,51,34.00664187297185,-84.3184690269545
"332 Cruise CT Roswell, GA 30076",Son Webb,male,55,34.00746603233869,-84.31862890940877
"301 Lakeview RDG  E Roswell, GA 30076",Salvador Lara,male,16,34.00772872726777,-84.31844741222913
"318 Lakeview RDG  W Roswell, GA 30076",Zita Matthews,female,23,34.007783051465296,-84.32013259454109
"323 Truehedge TRCE Roswell, GA 30076",Josef Parsons,male,42,34.01192391254322,-84.31051902747053
"214 Truehedge TRCE Roswell, GA 30076",Jerica Neal,female,36,34.01069437958852,-84.31235370320684
"127 Leeward LN Roswell, GA 30076",Irvin Middleton,male,47,34.00673653320025,-84.31971174635768
"228 Leeward LN Roswell, GA 30076",Evelynn Dawson,female,28,34.006783253430044,-84.31840557140943
"206 Starboard PT Roswell, GA 30076",Wen Barr,female,15,34.00646192631397,-84.32022044055141
"1400 Harbor LNDG Roswell, GA 30076",Kiley Hyde,female,15,34.00682616157433,-84.31593324892117
"236 Cruise CT Roswell, GA 30076",Luise Morse,female,35,34.007489645601375,-84.31850342859703
"120 Sea Holly CIR Roswell, GA 30076",Genia Finley,female,61,34.01092590342768,-84.31063608200134
"327 Truehedge TRCE Roswell, GA 30076",Bobby Dillard,male,20,34.01195316187352,-84.31047933195084
"232 Lakeview RDG  W Roswell, GA 30076",Kamilah Wood,female,28,34.00861959150856,-84.31953737945763
"100 Sun Moss CT Roswell, GA 30076",Izola Madden,female,39,34.01144955816824,-84.31249280365272
"234 Sea Holly CIR Roswell, GA 30076",Kent Bowman,male,37,34.010833412706425,-84.31020511407452
"162 Lakeview RDG  W Roswell, GA 30076",Codi Bullock,female,12,34.00958147529069,-84.31953001668191
"112 Truehedge TRCE Roswell, GA 30076",Johnsie Clarke,female,36,34.01248817360007,-84.3130874201551
"215 Cruise CT Roswell, GA 30076",Jamey Reynolds,female,51,34.00762653982946,-84.31851861996695
"107 Truehedge TRCE Roswell, GA 30076",Margherita Wilcox,female,49,34.012644440069394,-84.31323051961917
"131 Truehedge TRCE Roswell, GA 30076",Jospeh Olson,male,29,34.01197935069933,-84.31337381705919
"319 Truehedge TRCE Roswell, GA 30076",Reid Hawkins,male,50,34.01189466321292,-84.31055872299024
"100 Lace Wing CT Roswell, GA 30076",Bell Wolf,female,38,34.011942411333536,-84.31019729834394
"228 Truehedge TRCE Roswell, GA 30076",Raphael Reid,male,32,34.0107905130664,-84.31195077012815
"2300 Harbor LNDG Roswell, GA 30076",Andy Farrell,male,33,34.00877750204997,-84.31690829809912
"120 Leeward LN Roswell, GA 30076",Junior Hale,male,13,34.006842365543214,-84.31976665445208
"201 Truehedge TRCE Roswell, GA 30076",Fredda Whitehead,female,39,34.01053878400332,-84.31245201296667
"129 Cruise CT Roswell, GA 30076",Mitch Rosa,male,12,34.00766401846105,-84.31844755939036
"340 Truehedge TRCE Roswell, GA 30076",Phillip William,male,13,34.012756919625765,-84.31003233880926
"310 Truehedge TRCE Roswell, GA 30076",Dannielle Wade,female,30,34.01237471524606,-84.31013931392451
"212 Truehedge TRCE Roswell, GA 30076",Dewey Adkins,male,17,34.01068418331093,-84.31241424360508
"817 Cruise CT Roswell, GA 30076",Asley Booth,female,59,34.007860073161076,-84.31870119414019
"329 Sea Holly CIR Roswell, GA 30076",Dot Mckenzie,female,26,34.01181066597877,-84.3090201548133
"311 Lakeview RDG  W Roswell, GA 30076",Rafael Cunningham,male,57,34.007841620739306,-84.32024090130541
"134 Leeward LN Roswell, GA 30076",Dusty Glover,female,46,34.00686910165416,-84.31959062915257
"249 Lakeview RDG  E Roswell, GA 30076",Clotilde Vasquez,female,26,34.008329676871206,-84.3186087234959
"511 Cruise CT Roswell, GA 30076",Veronika Boone,female,68,34.00764989459936,-84.31874518487963
"707 Cruise CT Roswell, GA 30076",Neville Maxwell,male,40,34.007780936530054,-84.3187453904772
"343 Truehedge TRCE Roswell, GA 30076",Harrison Shaffer,male,32,34.0121440162169,-84.31021787383393
"284 Truehedge TRCE Roswell, GA 30076",Keenan Sims,male,59,34.01182412444816,-84.31086920880641
"100 Harbor LNDG Roswell, GA 30076",Sandie Hodge,female,14,34.010082460207556,-84.31674925869899
"806 Cruise CT Roswell, GA 30076",Lynell Christian,female,56,34.007908829923274,-84.3188104091634
"139 Leeward LN Roswell, GA 30076",Letty Hines,female,23,34.00672878531759,-84.31953935596856
"134 Lakeview RDG  W Roswell, GA 30076",Johnny Mccoy,female,56,34.00993117580328,-84.31955927858723
"232 Leeward LN Roswell, GA 30076",Micah Osborne,female,65,34.00678379764979,-84.31838157849901
"101 Cruise CT Roswell, GA 30076",Ricarda Curry,female,68,34.00767857987831,-84.31842062076842
"147 Sea Holly CIR Roswell, GA 30076",Domitila Welch,female,66,34.01105856178847,-84.31093743777419
"305 Lakeview RDG  W Roswell, GA 30076",Loralee Kidd,female,21,34.00751966111719,-84.3203346899993
"325 Cruise CT Roswell, GA 30076",Elenore Rose,female,12,34.00760396766132,-84.31861973354326
"619 Cruise CT Roswell, GA 30076",Darnell Berg,male,44,34.00770927359974,-84.31876006351433
"209 Starboard PT Roswell, GA 30076",Noella Cobb,female,63,34.00553558858613,-84.32043952681194
"115 Lakeview RDG  E Roswell, GA 30076",Nolan Thornton,male,36,34.00970715375961,-84.31831707634586
"331 Southwind CIR Roswell, GA 30076",Jermaine Kane,male,55,34.006395302484506,-84.31756756350241
"622 Cruise CT Roswell, GA 30076",Todd Warner,male,41,34.00771309444459,-84.31887493648566
"323 Lakeview RDG  W Roswell, GA 30076",Wayne Coffey,male,49,34.0077181368218,-84.32031098355522
"229 Cruise CT Roswell, GA 30076",Jamey Mckenzie,male,24,34.00762200759536,-84.31853372741395
"135 Lakeview RDG  E Roswell, GA 30076",Everette Robertson,male,9,34.009463147931235,-84.31832616016489
"609 Harbor LNDG Roswell, GA 30076",Michelina Graham,female,42,34.00895717925677,-84.31645182346959
"338 Sea Holly CIR Roswell, GA 30076",Tayna Medina,female,39,34.01192966339335,-84.30919443369359
"222 Lakeview RDG  E Roswell, GA 30076",Roland Bentley,male,24,34.008615899953796,-84.31844014126676
"229 Sea Holly CIR Roswell, GA 30076",Alfred Holcomb,male,30,34.010722443068445,-84.31044072144164
"115 Cruise CT Roswell, GA 30076",Malik Gamble,male,39,34.00767129916968,-84.31843409007939
"329 Cruise CT Roswell, GA 30076",Curtis Barrera,male,11,34.00760396766132,-84.31862432147601
"282 Truehedge TRCE Roswell, GA 30076",Hugh Bush,male,28,34.01178539099712,-84.31092004646091
"502 Cruise CT Roswell, GA 30076",Jesenia Grimes,female,23,34.007567974803216,-84.31883628393669
"101 Truehedge TRCE Roswell, GA 30076",Steven Chan,female,56,34.012797864061056,-84.31327834114654
"133 Twinspur Close Roswell, GA 30076",Hosea Weeks,male,29,34.012620536274106,-84.3117973897388
"281 Truehedge TRCE Roswell, GA 30076",Elvin Saunders,male,29,34.011504031956676,-84.31101418598897
"148 Starboard PT Roswell, GA 30076",Forest O'connor,male,36,34.00671246137091,-84.32022706350499
"123 Southwind CIR Roswell, GA 30076",Sharda Cannon,female,60,34.00648105347309,-84.31917205611073
"313 Cruise CT Roswell, GA 30076",Toshia Reid,female,59,34.00760396766132,-84.31860596974502
"125 Starboard PT Roswell, GA 30076",Khalilah Whitley,female,9,34.00673400000001,-84.32031366737826
"103 Truehedge TRCE Roswell, GA 30076",Porter Schultz,male,67,34.0127448042333,-84.3132601891002
"112 Lakeview RDG  W Roswell, GA 30076",Lanora Stephenson,female,31,34.010208962554564,-84.3195731679248
"217 Lakeview RDG  W Roswell, GA 30076",Brandon Anthony,female,62,34.008624134697726,-84.31966215029787
"238 Sea Holly CIR Roswell, GA 30076",Chase Phelps,male,69,34.010837536803706,-84.31012263212875
"335 Truehedge TRCE Roswell, GA 30076",Donald Morales,female,25,34.01201166053412,-84.31039994091145
"269 Softwood CIR Roswell, GA 30076",Ellsworth Noble,male,42,34.010123432512394,-84.31308754890497
"247 Lakeview RDG  W Roswell, GA 30076",Napoleon Clay,male,12,34.00834454152805,-84.3197840084285
"242 Leeward LN Roswell, GA 30076",Weston Shields,male,45,34.006802810707214,-84.31829601974059
"137 Sea Holly CIR Roswell, GA 30076",Agnus Eaton,female,38,34.011093322972386,-84.31098577210561
"722 Cruise CT Roswell, GA 30076",Gilberto Warner,male,56,34.00783588051454,-84.3188505313382
"332 Southwind CIR Roswell, GA 30076",Cedrick Mckinney,male,64,34.006418803370074,-84.31768243649758
"842 Cruise CT Roswell, GA 30076",Malisa Gamble,female,13,34.0079576965675,-84.31877339911014
"132 Softwood CIR Roswell, GA 30076",Marcel Lancaster,male,36,34.01189681572701,-84.31397505286135
"303 Cruise CT Roswell, GA 30076",Jen Galloway,female,34,34.00760396766132,-84.31859449991312
"704 Cruise CT Roswell, GA 30076",Jere Cole,male,20,34.00780171445954,-84.31885907932488
"1205 Harbor LNDG Roswell, GA 30076",Brenton Sullivan,male,44,34.00770173454524,-84.31620250060757
"620 Cruise CT Roswell, GA 30076",Gaston Sanders,male,27,34.007711184022156,-84.31887493648566
"744 Cruise CT Roswell, GA 30076",Steven Gilmore,male,29,34.00785498631207,-84.31884002314958
"159 Twinspur Close Roswell, GA 30076",Hyman Boone,male,53,34.01261342584683,-84.31193130278578
"113 Cruise CT Roswell, GA 30076",Georgiann Merritt,female,31,34.00767233927091,-84.31843216589209
"848 Cruise CT Roswell, GA 30076",Hayden Ward,male,65,34.00796160845521,-84.31876836954024
"111 Truehedge TRCE Roswell, GA 30076",Shandra Poole,female,30,34.012535813955395,-84.31320724259474
"232 Southwind CIR Roswell, GA 30076",Garry Nieves,male,37,34.00613320838321,-84.3183122250289
"215 Starboard PT Roswell, GA 30076",Jessenia Rice,female,11,34.005530409737794,-84.32042010613068
"216 Leeward LN Roswell, GA 30076",Brady Ferguson,male,50,34.006777671789926,-84.31851162257162
"919 Cruise CT Roswell, GA 30076",Tory Bridges,male,54,34.007906438438894,-84.31863128445309
"724 Cruise CT Roswell, GA 30076",Sonny Ratliff,male,40,34.00783761740523,-84.31884957604835
"306 Cruise CT Roswell, GA 30076",Maxwell Mosley,male,21,34.00746603233869,-84.31859908784588
"221 Starboard PT Roswell, GA 30076",Quintin Byers,male,27,34.005522677726525,-84.32037556141394
"249 Leeward LN Roswell, GA 30076",Coy Kaufman,male,28,34.00668813933766,-84.318206755935
"344 Sea Holly CIR Roswell, GA 30076",Donte Parrish,male,8,34.01202730111921,-84.30923463746308
"238 Lakeview RDG  W Roswell, GA 30076",Albert Gamble,female,62,34.008555330794444,-84.3195632910359
"201 Lakeview RDG  E Roswell, GA 30076",Hwa Weber,female,54,34.0089013902968,-84.31848499287784
"230 Leeward LN Roswell, GA 30076",Lucilla Sutton,female,27,34.006784183703395,-84.31838789621574
"303 Lakeview RDG  W Roswell, GA 30076",Reynalda Mcfadden,female,14,34.00790999160778,-84.32018962315406
"341 Truehedge TRCE Roswell, GA 30076",Stephen Mcdaniel,male,22,34.01212360183584,-84.31024509300867
"702 Cruise CT Roswell, GA 30076",Mitchel Armstrong,male,35,34.007799829997964,-84.3188594562172
"162 Truehedge TRCE Roswell, GA 30076",Wilburn Wells,male,39,34.01149825283169,-84.31314756318561
"210 Softwood CIR Roswell, GA 30076",Eldridge Bauer,male,40,34.01094113739965,-84.31391985149186
"248 Lakeview RDG  E Roswell, GA 30076",Violette Hines,female,14,34.008320127094365,-84.31849412617363
"240 Softwood CIR Roswell, GA 30076",Herb Park,male,8,34.01041466417561,-84.31352706229453
"105 Truehedge TRCE Roswell, GA 30076",Chase Pena,male,6,34.012691744405544,-84.31324203705384
"111 Southwind CIR Roswell, GA 30076",Wilson Justice,male,38,34.006608008535736,-84.31917643649544
"120 Windward LN Roswell, GA 30076",Chet Larson,male,46,34.00913396889822,-84.31925923602759
"213 Sea Holly CIR Roswell, GA 30076",Modesto Bailey,male,38,34.01076933697121,-84.31054857741802
"336 Cruise CT Roswell, GA 30076",Ronnie Roman,male,51,34.00746603233869,-84.31863349734155
"142 Windward LN Roswell, GA 30076",Luana Ramirez,female,46,34.00912591309489,-84.31902970702048
"140 Leeward LN Roswell, GA 30076",Darryl Rush,male,38,34.006814474897475,-84.31933004954124
"229 Leeward LN Roswell, GA 30076",Jim Wagner,male,31,34.00664559406526,-84.3183983261797
"723 Cruise CT Roswell, GA 30076",Doyle Joyce,male,11,34.00777843929893,-84.31874609276439
"114 Leeward LN Roswell, GA 30076",Logan Bond,male,19,34.00689161096402,-84.31987246399903
"914 Cruise CT Roswell, GA 30076",Jamey Eaton,male,13,34.00800463921999,-84.31871304427123
"104 Southwind CIR Roswell, GA 30076",Zandra Mathis,female,8,34.00666302503294,-84.31906156350455
"728 Cruise CT Roswell, GA 30076",Josh Emerson,male,48,34.00784109118659,-84.31884766546858
"542 Cruise CT Roswell, GA 30076",Jerlene Norris,female,40,34.00759994681049,-84.31886140479953
"119 Leeward LN Roswell, GA 30076",Erik Middleton,male,14,34.00674862048263,-84.31983032426194
"239 Lakeview RDG  W Roswell, GA 30076",Eli Sears,male,47,34.0084189594356,-84.31974679947473
"308 Truehedge TRCE Roswell, GA 30076",Latrina Savage,female,68,34.01230944762723,-84.31021495087421
"124 Windward LN Roswell, GA 30076",Ricarda Huffman,female,8,34.00913396889822,-84.31921827701277
"220 Lakeview RDG  E Roswell, GA 30076",Brendan Gentry,male,47,34.00875663252356,-84.31841995071856
"136 Leeward LN Roswell, GA 30076",Thi Figueroa,female,15,34.00686781034038,-84.31956189742104
"140 Cruise CT Roswell, GA 30076",Dominique Payne,male,54,34.00754207720692,-84.31839656362393
"114 Lakeview RDG  E Roswell, GA 30076",Angelo Cohen,male,12,34.00989771187411,-84.31818520000871
"218 Softwood CIR Roswell, GA 30076",Else Sampson,female,62,34.010875505112715,-84.31381673281841
"828 Cruise CT Roswell, GA 30076",Zenobia Clark,female,58,34.00794856882952,-84.31878513477326
"347 Sea Holly CIR Roswell, GA 30076",Melany Phelps,female,44,34.01210459024242,-84.309139376627
"403 Cruise CT Roswell, GA 30076",Ileen Mayer,female,30,34.007593368320364,-84.31867139627467
"104 Sea Holly CIR Roswell, GA 30076",Ezekiel Sullivan,male,68,34.01132423744937,-84.31111612187799
"207 Starboard PT Roswell, GA 30076",Kareen Wiley,female,49,34.00553731486891,-84.32044600037236
"221 Lakeview RDG  E Roswell, GA 30076",Darren Bowen,male,69,34.00866869809056,-84.31854622766895
"207 Truehedge TRCE Roswell, GA 30076",Julee Fox,female,9,34.010560026248314,-84.31232588713705
"628 Cruise CT Roswell, GA 30076",Arden Guthrie,male,32,34.007730104919574,-84.31887340123286
"212 Cruise CT Roswell, GA 30076",Bobby Harmon,male,47,34.00750463356253,-84.31846583436605
"129 Leeward LN Roswell, GA 30076",Logan Mathis,male,20,34.00673524188647,-84.31968301462616
"638 Cruise CT Roswell, GA 30076",Howard Miles,male,30,34.00773952722746,-84.3188715167713
