Address,Name,Gender,Age,Average Dollar,Coordinates,Latitude,Longitude
"239 Cruise CT Roswell, GA 30076",Charles Shepherd,male,36,46,,,
"1100 Harbor LNDG Roswell, GA 30076",Kristel Ewing,female,13,408,,,
"118 Starboard PT Roswell, GA 30076",Terina Finch,female,69,582,,,
"643 Cruise CT Roswell, GA 30076",Kazuko Delaney,female,21,53,,,
"249 Softwood CIR Roswell, GA 30076",Lurline Potts,female,15,359,,,
"249 Cruise CT Roswell, GA 30076",Darryl Wooten,male,18,600,,,
"703 Cruise CT Roswell, GA 30076",Nancee Brennan,female,29,270,,,
"326 Sea Holly CIR Roswell, GA 30076",Kemberly Gross,female,54,94,,,
"905 Cruise CT Roswell, GA 30076",Russell Burke,female,60,177,,,
"217 Lakeview RDG  W Roswell, GA 30076",Bertram Galloway,male,61,476,,,
"247 Softwood CIR Roswell, GA 30076",Dudley Chaney,male,56,45,,,
"400 Harbor LNDG Roswell, GA 30076",Halley Perry,female,29,215,,,
"438 Cruise CT Roswell, GA 30076",Lawrence Vega,male,35,370,,,
"301 Truehedge TRCE Roswell, GA 30076",Wayne Morton,male,19,399,,,
"1807 Harbor LNDG Roswell, GA 30076",Angle Benjamin,female,41,691,,,
"216 Southwind CIR Roswell, GA 30076",Elanor Morgan,female,27,161,,,
"124 Southwind CIR Roswell, GA 30076",Minta Powers,female,50,245,,,
"100 Winterberry CT Roswell, GA 30076",Emmie Cooper,female,57,290,,,
"201 Truehedge TRCE Roswell, GA 30076",Cassaundra Fuller,female,69,723,,,
"145 Softwood CIR Roswell, GA 30076",Hank Neal,male,40,510,,,
"218 Sea Holly CIR Roswell, GA 30076",Kirby English,male,16,628,,,
"310 Cruise CT Roswell, GA 30076",Rusty Warner,male,68,256,,,
"335 Truehedge TRCE Roswell, GA 30076",Austin Velazquez,male,19,61,,,
"1200 Harbor LNDG Roswell, GA 30076",Rosamond Mcintyre,female,66,532,,,
"313 Cruise CT Roswell, GA 30076",Reda Livingston,female,57,367,,,
"246 Southwind CIR Roswell, GA 30076",Carlton Lang,male,63,92,,,
"1900 Harbor LNDG Roswell, GA 30076",Katharina Mosley,female,61,265,,,
"232 Sea Holly CIR Roswell, GA 30076",Jeanett Fletcher,female,38,309,,,
"338 Southwind CIR Roswell, GA 30076",Javier Roy,male,50,569,,,
"148 Twinspur Close Roswell, GA 30076",Sarai Lowery,female,31,410,,,
"232 Lakeview RDG  W Roswell, GA 30076",Toshia Faulkner,female,47,295,,,
"510 Cruise CT Roswell, GA 30076",Elanor Huffman,female,17,191,,,
"161 Truehedge TRCE Roswell, GA 30076",Eugene Davis,male,53,359,,,
"309 Lakeview RDG  E Roswell, GA 30076",Tianna Kinney,female,58,448,,,
"1800 Harbor LNDG Roswell, GA 30076",Xochitl Thornton,female,60,233,,,
"148 Leeward LN Roswell, GA 30076",Hsiu Francis,female,34,591,,,
"207 Starboard PT Roswell, GA 30076",Clinton Brady,male,55,801,,,
"232 Southwind CIR Roswell, GA 30076",Denisse Chavez,female,18,267,,,
"232 Truehedge TRCE Roswell, GA 30076",Dominique Albert,male,49,373,,,
"103 Windward LN Roswell, GA 30076",Dante Lawrence,male,56,835,,,
"125 Lakeview RDG  E Roswell, GA 30076",Antonia Lester,male,69,346,,,
"615 Cruise CT Roswell, GA 30076",Margene Copeland,female,60,131,,,
"116 Southwind CIR Roswell, GA 30076",Evita Rios,female,11,638,,,
"258 Softwood CIR Roswell, GA 30076",Timmy Barron,male,25,604,,,
"341 Cruise CT Roswell, GA 30076",Cole Aguilar,male,56,519,,,
"407 Cruise CT Roswell, GA 30076",Lorita Ewing,female,49,558,,,
"201 Cruise CT Roswell, GA 30076",Elfrieda Small,female,52,448,,,
"108 Leeward LN Roswell, GA 30076",Daren Walsh,male,54,44,,,
"322 Southwind CIR Roswell, GA 30076",Harrison Phelps,male,63,463,,,
"139 Leeward LN Roswell, GA 30076",Reinaldo Thornton,male,11,544,,,
"122 Softwood CIR Roswell, GA 30076",Kortney Barber,female,31,808,,,
"120 Cruise CT Roswell, GA 30076",Berenice Carrillo,female,22,352,,,
"2100 Harbor LNDG Roswell, GA 30076",Rusty Serrano,male,21,143,,,
"218 Truehedge TRCE Roswell, GA 30076",Roberto Simmons,male,35,82,,,
"134 Windward LN Roswell, GA 30076",Felix Grant,male,40,280,,,
"239 Starboard PT Roswell, GA 30076",Lovetta Trujillo,female,13,438,,,
"544 Cruise CT Roswell, GA 30076",Reinaldo Cook,male,40,899,,,
"243 Southwind CIR Roswell, GA 30076",Del Curtis,male,66,399,,,
"240 Starboard PT Roswell, GA 30076",Wendie Calderon,female,30,103,,,
"151 Truehedge TRCE Roswell, GA 30076",Setsuko Dunlap,female,33,317,,,
"212 Truehedge TRCE Roswell, GA 30076",Ginette French,female,35,231,,,
"104 Softwood CIR Roswell, GA 30076",Buddy Vang,male,40,350,,,
"331 Lakeview RDG  W Roswell, GA 30076",Sebastian Wilson,male,46,168,,,
"224 Sea Holly CIR Roswell, GA 30076",Carlos Carter,female,24,346,,,
"122 Lakeview RDG  E Roswell, GA 30076",Sebastian Ratliff,male,52,419,,,
"124 Lakeview RDG  E Roswell, GA 30076",Ted Ochoa,male,11,449,,,
"435 Cruise CT Roswell, GA 30076",Lesha Dale,female,22,173,,,
"108 Starboard PT Roswell, GA 30076",Omega Green,female,24,251,,,
"143 Windward LN Roswell, GA 30076",Rebbeca Moran,female,29,151,,,
"115 Twinspur Close Roswell, GA 30076",Xenia Weber,female,42,475,,,
"235 Southwind CIR Roswell, GA 30076",Lyndon Bryant,male,64,333,,,
"146 Lakeview RDG  E Roswell, GA 30076",Nicky Alston,male,6,351,,,
"111 Leeward LN Roswell, GA 30076",Katlyn Combs,female,39,378,,,
"218 Cruise CT Roswell, GA 30076",Nieves Jacobs,female,12,231,,,
"400 Cruise CT Roswell, GA 30076",Shaniqua Holloway,female,47,145,,,
"220 Softwood CIR Roswell, GA 30076",Madelaine Owens,female,36,371,,,
"136 Twinspur Close Roswell, GA 30076",Lesley Garza,male,25,310,,,
"2000 Harbor LNDG Roswell, GA 30076",Carol Stewart,male,58,177,,,
"159 Lakeview RDG  W Roswell, GA 30076",Jolie Poole,female,25,516,,,
"530 Cruise CT Roswell, GA 30076",Travis Eaton,male,16,498,,,
"147 Softwood CIR Roswell, GA 30076",John Cummings,male,44,577,,,
"254 Softwood CIR Roswell, GA 30076",Lucina Wilkins,female,62,796,,,
"156 Lakeview RDG  W Roswell, GA 30076",Prince Peters,male,30,472,,,
"112 Twinspur Close Roswell, GA 30076",Drew Coffey,female,28,709,,,
"236 Southwind CIR Roswell, GA 30076",Deandrea Reilly,female,26,208,,,
"119 Lakeview RDG  E Roswell, GA 30076",Claud Baird,male,51,432,,,
"137 Softwood CIR Roswell, GA 30076",Garth Reid,male,49,179,,,
"528 Cruise CT Roswell, GA 30076",Jeff Johnston,male,35,217,,,
"215 Starboard PT Roswell, GA 30076",Valentine Scott,female,29,160,,,
"327 Southwind CIR Roswell, GA 30076",Augustine Barry,male,68,351,,,
"245 Leeward LN Roswell, GA 30076",Boyd Landry,male,58,415,,,
"303 Lakeview RDG  E Roswell, GA 30076",Dion Guthrie,female,18,321,,,
"648 Cruise CT Roswell, GA 30076",Catrice Hurley,female,69,168,,,
"639 Cruise CT Roswell, GA 30076",Alysa Mendez,female,52,106,,,
"126 Sea Holly CIR Roswell, GA 30076",Arlena Guzman,female,23,616,,,
"820 Cruise CT Roswell, GA 30076",Arlyne Case,female,17,275,,,
"347 Truehedge TRCE Roswell, GA 30076",Chantay Olsen,female,51,115,,,
"2300 Harbor LNDG Roswell, GA 30076",Carisa Beard,female,25,321,,,
"203 Starboard PT Roswell, GA 30076",Joella Harding,female,62,294,,,
"113 Truehedge TRCE Roswell, GA 30076",Buena Whitfield,female,66,276,,,
"421 Cruise CT Roswell, GA 30076",Darell Murray,male,40,42,,,
"331 Truehedge TRCE Roswell, GA 30076",Marisha Wall,female,27,583,,,
"338 Lakeview RDG  E Roswell, GA 30076",Tifany Bond,female,62,486,,,
"714 Cruise CT Roswell, GA 30076",Adalberto Bryan,male,11,389,,,
"141 Softwood CIR Roswell, GA 30076",Fernando Hoffman,male,50,557,,,
"310 Sea Holly CIR Roswell, GA 30076",Saul Mann,male,7,672,,,
"130 Softwood CIR Roswell, GA 30076",Terrell Sandoval,male,5,414,,,
"244 Southwind CIR Roswell, GA 30076",Romeo Mayo,male,60,336,,,
"138 Starboard PT Roswell, GA 30076",Berna Torres,female,22,399,,,
"630 Cruise CT Roswell, GA 30076",Arletha Hunt,female,15,586,,,
"344 Southwind CIR Roswell, GA 30076",Rosendo Bradford,male,33,50,,,
"737 Cruise CT Roswell, GA 30076",Lindsey Vaughan,male,43,277,,,
"212 Softwood CIR Roswell, GA 30076",Valentin Clarke,male,53,408,,,
"116 Windward LN Roswell, GA 30076",Walter Castaneda,male,18,470,,,
"618 Cruise CT Roswell, GA 30076",Celestina Stephens,female,23,427,,,
"321 Cruise CT Roswell, GA 30076",Tula Baldwin,female,24,359,,,
"206 Truehedge TRCE Roswell, GA 30076",Elton Cook,male,45,689,,,
"105 Cruise CT Roswell, GA 30076",Mac O'connor,male,54,207,,,
"228 Sea Holly CIR Roswell, GA 30076",Dell Morgan,female,69,211,,,
"124 Starboard PT Roswell, GA 30076",Tanner Guerra,male,28,181,,,
"214 Lakeview RDG  E Roswell, GA 30076",Alexander Gardner,female,29,99,,,
"345 Lakeview RDG  W Roswell, GA 30076",Neda Mack,female,58,363,,,
"243 Starboard PT Roswell, GA 30076",Gregory Nguyen,male,67,255,,,
"224 Leeward LN Roswell, GA 30076",Tabetha Woodard,female,51,223,,,
"844 Cruise CT Roswell, GA 30076",Clifton Neal,male,31,257,,,
"738 Cruise CT Roswell, GA 30076",Torri Crawford,female,30,293,,,
"142 Southwind CIR Roswell, GA 30076",Rigoberto Gray,male,57,386,,,
"219 Sea Holly CIR Roswell, GA 30076",Yaeko Benton,female,44,394,,,
"107 Sea Holly CIR Roswell, GA 30076",Walton Blair,male,67,234,,,
"741 Cruise CT Roswell, GA 30076",Bennie Spears,male,6,236,,,
"119 Cruise CT Roswell, GA 30076",Warren Clayton,male,49,654,,,
"219 Lakeview RDG  E Roswell, GA 30076",Erline Webster,female,10,518,,,
"336 Sea Holly CIR Roswell, GA 30076",Lyla Bennett,female,19,317,,,
"309 Cruise CT Roswell, GA 30076",Annita Hoover,female,14,318,,,
"202 Lakeview RDG  E Roswell, GA 30076",Angelo Perkins,female,54,476,,,
"347 Sea Holly CIR Roswell, GA 30076",Merilyn Patterson,female,57,56,,,
"214 Cruise CT Roswell, GA 30076",Raymundo Quinn,male,12,701,,,
"933 Cruise CT Roswell, GA 30076",Kaci Wheeler,female,65,558,,,
"414 Cruise CT Roswell, GA 30076",Sacha Michael,female,59,246,,,
"137 Lakeview RDG  W Roswell, GA 30076",Olimpia Ortega,female,41,424,,,
"117 Cruise CT Roswell, GA 30076",Ellis Watkins,male,51,659,,,
"133 Lakeview RDG  W Roswell, GA 30076",Melvin Woods,male,24,246,,,
"845 Cruise CT Roswell, GA 30076",Martin Moon,male,58,418,,,
"206 Leeward LN Roswell, GA 30076",Kai Morse,female,51,87,,,
"330 Truehedge TRCE Roswell, GA 30076",Lorrine Meadows,female,42,334,,,
"330 Sea Holly CIR Roswell, GA 30076",Oliver Nieves,male,36,169,,,
"229 Sea Holly CIR Roswell, GA 30076",Henry Lester,female,42,344,,,
"105 Leeward LN Roswell, GA 30076",Leland Christensen,male,53,696,,,
"215 Truehedge TRCE Roswell, GA 30076",Augustine Melendez,male,45,598,,,
"135 Leeward LN Roswell, GA 30076",Wesley Boone,male,46,569,,,
"134 Sea Holly CIR Roswell, GA 30076",Gary Mckenzie,male,39,345,,,
"219 Cruise CT Roswell, GA 30076",Jason Santos,male,46,313,,,
"326 Lakeview RDG  E Roswell, GA 30076",Taylor Bell,male,14,689,,,
"221 Leeward LN Roswell, GA 30076",Kristle Mays,female,67,44,,,
"306 Cruise CT Roswell, GA 30076",Alden Petty,male,23,297,,,
"813 Cruise CT Roswell, GA 30076",Malorie Gillespie,female,58,180,,,
"322 Sea Holly CIR Roswell, GA 30076",Vivien Hopkins,female,56,585,,,
"132 Twinspur Close Roswell, GA 30076",Leonard Keith,male,35,451,,,
"341 Lakeview RDG  W Roswell, GA 30076",Karisa Mcmahon,female,29,199,,,
"127 Leeward LN Roswell, GA 30076",Viki Barron,female,50,238,,,
"448 Cruise CT Roswell, GA 30076",Johnathan Parrish,male,58,487,,,
"712 Cruise CT Roswell, GA 30076",Doreatha Rojas,female,34,195,,,
"600 Harbor LNDG Roswell, GA 30076",Michal Steele,male,9,171,,,
"818 Cruise CT Roswell, GA 30076",Marcel Mcfadden,male,11,254,,,
"112 Leeward LN Roswell, GA 30076",Mary Lewis,male,5,336,,,
"431 Cruise CT Roswell, GA 30076",Alberto Gilliam,male,22,463,,,
"200 Highridge CT Roswell, GA 30076",Giovanni Wilcox,male,46,166,,,
"100 Brier CT Roswell, GA 30076",Ariel Ashley,male,22,77,,,
"9762 Terrace Lake PT Roswell, GA 30076",Arden Bray,male,48,47,,,
"107 Spring Ridge TRCE Roswell, GA 30076",Reda Schmidt,female,37,490,,,
"2437 Camden Glen CT Roswell, GA 30076",Mckinley Waller,male,43,62,,,
"9848 Terrace Lake PT Roswell, GA 30076",Booker Mason,male,20,92,,,
"512 Wood Valley TRCE Roswell, GA 30076",Kirstie Bond,female,39,342,,,
"131 Lakeland WAY Roswell, GA 30076",Celesta Sellers,female,44,615,,,
"9701 Terrace Lake PT Roswell, GA 30076",Eugenie Cummings,female,44,532,,,
"2617 Camden Glen CT Roswell, GA 30076",Terresa Parrish,female,69,388,,,
"100 Camellia CT Roswell, GA 30076",Beata Small,female,64,106,,,
"710 Springview CT Roswell, GA 30076",Kristle Hopkins,female,62,207,,,
"2509 Camden Glen CT Roswell, GA 30076",Bryce Mendez,male,14,84,,,
"746 Lake Forest PASS Roswell, GA 30076",Anjelica Marsh,female,66,600,,,
"2550 Roxburgh DR Roswell, GA 30076",Xochitl Mcdaniel,female,22,524,,,
"2612 Camden Glen CT Roswell, GA 30076",Robt Simpson,male,44,214,,,
"9846 Terrace Lake PT Roswell, GA 30076",Tristan Henson,male,26,561,,,
"446 Spring Ridge DR Roswell, GA 30076",Dorine Boyer,female,68,428,,,
"141 Camellia WAY Roswell, GA 30076",Miesha Schmidt,female,32,211,,,
"120 Spring Ridge CT Roswell, GA 30076",Leo Rice,male,58,516,,,
"430 Spring Ridge TRCE Roswell, GA 30076",Alphonso Ramos,male,25,331,,,
"1222 Atherton PARK Roswell, GA 30076",Toshiko Marsh,female,8,552,,,
"414 Spring Ridge DR Roswell, GA 30076",Solomon York,male,14,184,,,
"526 Ridgemont DR Roswell, GA 30076",Roman Stanton,male,66,878,,,
"604 Ridgemont DR Roswell, GA 30076",Ewa Turner,female,60,512,,,
"2700 Camden Glen CT Roswell, GA 30076",Laverna Merritt,female,62,613,,,
"232 Spring Ridge TRCE Roswell, GA 30076",Clifton Mathis,male,63,553,,,
"412 Spring Ridge TRCE Roswell, GA 30076",Romelia Wallace,female,55,321,,,
"2601 Camden Glen CT Roswell, GA 30076",Hilario Bridges,male,69,264,,,
"2234 Roxburgh DR Roswell, GA 30076",Lee Estrada,male,26,338,,,
"2633 Camden Glen CT Roswell, GA 30076",Jayna Schroeder,female,22,388,,,
"300 Ridge CT Roswell, GA 30076",Alline Nolan,female,43,257,,,
"2407 Roxburgh DR Roswell, GA 30076",Zenia Hammond,female,28,249,,,
"106 Ridge WAY Roswell, GA 30076",Porter Carney,male,35,206,,,
"222 Spring Ridge CT Roswell, GA 30076",Vivan Mcpherson,female,35,171,,,
"9929 Fairway Village DR Roswell, GA 30076",Layla Barlow,female,50,141,,,
"2613 Club Springs DR Roswell, GA 30076",Tomi Patel,female,43,563,,,
"606 Wood Valley TRCE Roswell, GA 30076",Troy Swanson,male,41,159,,,
"327 Spring Ridge DR Roswell, GA 30076",Magen Simon,female,26,564,,,
"209 Spring Ridge TRCE Roswell, GA 30076",Vanna Aguilar,female,27,391,,,
"200 Lakeland CT Roswell, GA 30076",Riley Gates,male,22,262,,,
"2237 Roxburgh DR Roswell, GA 30076",Huong Jenkins,female,40,380,,,
"541 Wood Valley TRCE Roswell, GA 30076",Hunter Potter,male,56,846,,,
"2543 Club Springs DR Roswell, GA 30076",Tambra Hart,female,61,560,,,
"617 Springview CT Roswell, GA 30076",Dewey Francis,male,48,294,,,
"803 Lake Forest PASS Roswell, GA 30076",Marget Randolph,female,37,357,,,
"2440 Club Springs DR Roswell, GA 30076",Loria Shepherd,female,5,449,,,
"1309 Atherton PARK Roswell, GA 30076",Tom Perez,male,14,43,,,
"9925 Fairway Village DR Roswell, GA 30076",Jadwiga O'neal,female,21,398,,,
"2367 Roxburgh DR Roswell, GA 30076",Magaly Morgan,female,16,320,,,
"741 Lake Forest PASS Roswell, GA 30076",Winston Jennings,male,44,622,,,
"2628 Club Springs DR Roswell, GA 30076",Carmelo Wilder,male,38,727,,,
"2312 Club Springs DR Roswell, GA 30076",Josef Fisher,male,17,548,,,
"300 Susie CT Roswell, GA 30076",Bryce Shelton,male,9,209,,,
"155 Spring Ridge TRCE Roswell, GA 30076",Bradly Brooks,male,29,589,,,
"200 Overlook CT Roswell, GA 30076",Harry Mcmahon,male,30,345,,,
"2239 Roxburgh DR Roswell, GA 30076",Kevin Langley,male,35,198,,,
"2443 Club Springs DR Roswell, GA 30076",Xuan Talley,female,17,382,,,
"849 Lake Forest PASS Roswell, GA 30076",Xochitl Blair,female,58,379,,,
"10007 Fairway Village DR Roswell, GA 30076",Rudy Guerra,male,24,84,,,
"604 Springview CT Roswell, GA 30076",Natacha Kirkland,female,37,84,,,
"744 Wood Valley TRCE Roswell, GA 30076",Duncan Barry,male,26,541,,,
"127 Spring Ridge DR Roswell, GA 30076",Ronnie Thomas,male,60,309,,,
"9808 Terrace Lake PT Roswell, GA 30076",Gene Gilliam,male,64,694,,,
"2448 Roxburgh DR Roswell, GA 30076",German Cobb,male,20,655,,,
